Id,Category,Sentence
11180,2,"Although Barbershop boasts some of today 's hottest and hippest acts from the world of television , music and stand-up comedy , this movie strangely enough has the outdated swagger of a shameless ` 70s blaxploitation shuck-and-jive sitcom ."
10282,1,"-LRB- Johnnie To and Wai Ka Fai are -RRB- sure to find an enthusiastic audience among American action-adventure buffs , but the film 's interests may be too narrow to attract crossover viewers ."
1049,1,Naipaul fans may be disappointed .
10985,4,Narc is a no-bull throwback to 1970s action films .
4235,1,"Cinematic pyrotechnics aside , the only thing Avary seems to care about are mean giggles and pulchritude ."
5364,3,"I have always appreciated a smartly written motion picture , and , whatever flaws Igby Goes Down may possess , it is undeniably that ."
8632,3,"In fact , even better ."
10877,1,"An exceptionally dreary and overwrought bit of work , every bit as imperious as Katzenberg 's The Prince of Egypt from 1998 ."
8911,2,The film tries to touch on spousal abuse but veers off course and becomes just another revenge film .
7494,1,"Squandering his opportunity to make absurdist observations , Burns gets caught up in the rush of slapstick thoroughfare ."
10561,2,"Not kids , who do n't need the lesson in repugnance ."
6447,1,"It 's sweet and fluffy at the time , but it may leave you feeling a little sticky and unsatisfied ."
927,0,After that it becomes long and tedious like a classroom play in a college history course .
3805,3,"This amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as Greenfingers ..."
8992,2,"It 's not particularly subtle ... However , it still manages to build to a terrifying , if obvious , conclusion ."
4759,1,This is a film living far too much in its own head .
3583,3,"All in all , a great party ."
7292,3,"The pain , loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this self-deprecating , biting and witty feature written by Charlie Kaufman and his twin brother , Donald , and directed by Spike Jonze ."
7608,4,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .
5833,1,It 's one long bore .
7229,3,"A solid , spooky entertainment worthy of the price of a ticket ."
11528,2,"Collateral Damage offers formula payback and the Big Payoff , but the explosions tend to simply hit their marks , pyro-correctly ."
8017,3,She allows each character to confront their problems openly and honestly .
3681,1,"Starts promisingly but disintegrates into a dreary , humorless soap opera ."
4561,2,"While Howard 's appreciation of Brown and his writing is clearly well-meaning and sincere , the movie would be impossible to sit through were it not for the supporting cast ."
